Star Rating,Review Text,Word Count
1,Не советую! Будет внимательны!,4
1,Хамское обслуживание,2
1,Не покупайте выпечку,3
1,Ужасный сервис в магазинах Пятерочка Сызрани.,6
1,Вы там чтоль рабовладельцами себя ощутили?,6
1,4 раза не получилось сделать заказы! Жесть,7
1,Кассово-маркетинговое воровство,2
1,ужас,1
1,"Отвратительное качество обслуживани,я",3
1,Не советую,2
1,Наплевательское и хамское отношение к покупателям,6
1,Не рекомендую,2
1,Отвратительно,1
1,не хорошие люди - уУРОДЫ,5
1,"Сплошной обман с ценами: на ценнике одна цена, пробивают другую -выше.",11
1,Стал безумно дорогим...,3
1,Акция !Стильные ножи! Не ведитесь,5
1,"Скудный ассортимент, гнилые овощи и фрукты, хамство",7
1,обман,1
1,Воруют баллы с карты лояльности,5
1,С карты списали бонусы,4
1,После оплаты заказа удалили действующий промокод и сняли еще денег к карты! Отменить нельзя!,14
1,Отвратительно,1
1,Обманывают пенсионеров,2
1,очень противное место! никогда больше не зайду,7
1,Ужас,1
1,Пятерочка Москва врут с промокодом,5
1,Разочарование,1
1,Мошенники,1
1,Отвратительно,1
1,Плохое качество обслуживания,3
1,не очень добросовестный,3
1,Мошенники,1
1,впечатление плохое: при задранных ценах некачественный товар и хамское поведение персонала,11
1,Отвратительнейший сервис (точнее полное отсутствие службы поддержки),7
1,жулики,1
1,НЕ КОМУ НЕ РЕКОМЕНДУЮ ПОЛЬЗОВАТЬСЯ ДОСТАВКОЙ!,6
1,Обман.,1
1,Нет доверия к доставке,4
1,Один минус перечеркивает все плюсы,5
1,Просто обнаглели,2
1,Впечатление не очень,3
1,Очень плохо,2
1,Лохотрон в 5-ке с картой,5
1,Блокировка карты пятерочки с накопленными бонусами,6
1,Ужасно,1
1,Ужасно,1
1,Списали баллы (5110 баллов - 511 рублей) и наклейки (более 50 - скидки к промоакции).,15
1,Воруют,1
1,Отвратительно,1
1,Ужас,1
1,ужасно,1
1,неприятные ощущения,2
